epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15801,2.08222,3.84876,2.16198,0.38755,0.11672,0.01762,0.00431,2.55961,17.1755,3.18131,0.00021435,0.00021435,0.00021435
2,14.4301,1.71442,2.88004,1.98649,0.5329,0.04265,0.02651,0.01202,2.75225,5.17921,2.91586,0.000438604,0.000438604,0.000438604
3,21.223,1.77294,2.6206,1.98422,0.06733,0.33221,0.03642,0.01567,2.41721,22.6359,2.49976,0.000658332,0.000658332,0.000658332
4,26.6445,1.69574,2.5335,1.87234,0.03188,0.09091,0.01603,0.0071,2.87781,5.23091,2.83785,0.000873532,0.000873532,0.000873532
5,32.2807,1.744,2.48299,1.91153,0.00454,0.04938,0.00233,0.00076,3.57856,176.77,4.15414,0.00108421,0.00108421,0.00108421
6,38.2982,1.81134,2.60106,2.02241,0.00934,0.07407,0.00709,0.00174,2.99233,7.20116,3.40132,0.00129035,0.00129035,0.00129035
7,43.4665,1.77759,2.34843,1.88407,0.24727,0.32548,0.04,0.01449,2.88677,19.2431,3.51293,0.00134412,0.00134412,0.00134412
8,49.6036,1.79649,2.34368,1.87782,0.01343,0.41077,0.0041,0.00186,2.90111,275.97,4.19841,0.00132997,0.00132997,0.00132997
9,55.3892,1.69914,2.20304,1.85397,0.00517,0.46128,0.00466,0.0015,3.1501,46.8283,3.58121,0.00131582,0.00131582,0.00131582
10,60.5204,1.65085,2.20081,1.85516,0.16242,0.10438,0.05669,0.01707,2.68504,3.99439,2.65837,0.00130168,0.00130168,0.00130168
11,66.8715,1.62543,2.11224,1.80172,0.04812,0.04265,0.01032,0.00364,2.61418,7.26902,2.73895,0.00128753,0.00128753,0.00128753
12,72.4269,1.58302,2.0874,1.78383,0.00673,0.15376,0.00459,0.00215,2.6011,33.8284,2.69487,0.00127338,0.00127338,0.00127338
13,77.9874,1.59987,2.01696,1.7959,0.05763,0.38721,0.0486,0.0177,2.6009,4.48285,2.7741,0.00125923,0.00125923,0.00125923
14,84.0799,1.57582,2.01664,1.82771,0.02305,0.17845,0.01936,0.00622,2.9162,4.55294,3.04583,0.00124509,0.00124509,0.00124509
15,89.5912,1.51728,2.01734,1.76137,0.04988,0.13468,0.02816,0.00923,2.70921,4.03855,2.84197,0.00123094,0.00123094,0.00123094
16,96.0026,1.42218,1.96765,1.67693,0.42526,0.10438,0.04919,0.01318,2.72003,4.24583,2.86562,0.00121679,0.00121679,0.00121679
17,101.606,1.48328,1.86188,1.68768,0.45082,0.07295,0.0491,0.01976,2.71961,4.16111,2.84805,0.00120265,0.00120265,0.00120265
18,106.977,1.53369,1.93018,1.74165,0.56401,0.0853,0.07011,0.02752,2.41627,3.61984,2.5311,0.0011885,0.0011885,0.0011885
19,113.408,1.42626,1.79914,1.65854,0.12213,0.15937,0.10371,0.04595,2.65969,3.25674,2.72783,0.00117435,0.00117435,0.00117435
20,118.718,1.43531,1.7953,1.67287,0.60566,0.0853,0.09653,0.03072,2.62545,3.49491,2.81874,0.00116021,0.00116021,0.00116021
21,125.604,1.38801,1.71391,1.60978,0.80686,0.09091,0.09648,0.04069,2.4579,3.37053,2.60256,0.00114606,0.00114606,0.00114606
22,131.692,1.30725,1.66359,1.5553,0.69543,0.12795,0.13715,0.04588,2.40385,3.39375,2.67797,0.00113191,0.00113191,0.00113191
23,136.93,1.31835,1.57286,1.57089,0.5406,0.14029,0.09623,0.04308,2.3926,3.60126,2.60746,0.00111776,0.00111776,0.00111776
24,143.453,1.339,1.62376,1.57679,0.5559,0.12795,0.10431,0.03261,2.7477,3.60815,2.69385,0.00110362,0.00110362,0.00110362
25,148.595,1.32212,1.59543,1.55643,0.11817,0.10438,0.06728,0.01557,2.62551,3.513,2.63814,0.00108947,0.00108947,0.00108947
26,154.182,1.24842,1.52419,1.51007,0.56348,0.12233,0.11932,0.04771,2.45515,3.10817,2.45596,0.00107532,0.00107532,0.00107532
27,160.267,1.27059,1.50206,1.5239,0.11184,0.13143,0.07273,0.03458,2.41613,3.6844,2.61993,0.00106118,0.00106118,0.00106118
28,165.396,1.21421,1.4254,1.48328,0.42997,0.16492,0.05165,0.02132,2.48716,3.72032,2.60736,0.00104703,0.00104703,0.00104703
29,171.332,1.22506,1.43175,1.48645,0.27204,0.27609,0.20398,0.06662,2.66074,3.15958,2.66235,0.00103288,0.00103288,0.00103288
30,177.119,1.18917,1.40195,1.49619,0.57591,0.10438,0.12372,0.03587,2.51562,3.16311,2.44444,0.00101873,0.00101873,0.00101873
31,182.284,1.17496,1.42225,1.45248,0.70035,0.10999,0.12118,0.04073,2.48839,3.2135,2.51467,0.00100459,0.00100459,0.00100459
32,188.607,1.18946,1.42166,1.47345,0.1736,0.14029,0.10346,0.05247,2.5918,3.93515,2.59242,0.00099044,0.00099044,0.00099044
33,193.895,1.12859,1.36673,1.41372,0.16387,0.15825,0.10295,0.03283,2.48559,3.66705,2.52558,0.000976293,0.000976293,0.000976293
34,199.445,1.11822,1.28799,1.39233,0.21793,0.14703,0.12641,0.04337,2.42969,3.37506,2.40021,0.000962146,0.000962146,0.000962146
35,205.621,1.17184,1.3348,1.44844,0.75452,0.10999,0.15832,0.05952,2.29804,3.57366,2.41523,0.000947999,0.000947999,0.000947999
36,210.813,1.134,1.31439,1.41531,0.23938,0.13468,0.13175,0.04897,2.38628,3.39204,2.59422,0.000933851,0.000933851,0.000933851
37,216.709,1.11683,1.29479,1.41356,0.53743,0.14703,0.13324,0.04521,2.35631,3.21016,2.33439,0.000919704,0.000919704,0.000919704
38,222.544,1.04184,1.182,1.34231,0.56632,0.13468,0.13054,0.04467,2.33419,3.43223,2.44841,0.000905557,0.000905557,0.000905557
39,227.632,1.03666,1.16869,1.3491,0.21733,0.15098,0.12305,0.0474,2.37046,3.86064,2.50749,0.00089141,0.00089141,0.00089141
40,234.051,1.06604,1.13174,1.35684,0.48461,0.09617,0.12935,0.04392,2.43545,3.3498,2.52573,0.000877263,0.000877263,0.000877263
41,239.335,1.07559,1.22095,1.34591,0.18817,0.1859,0.16784,0.07113,2.44037,3.14135,2.51968,0.000863116,0.000863116,0.000863116
42,244.556,1.0108,1.12568,1.31467,0.33298,0.14703,0.18603,0.07434,2.32081,3.08125,2.38093,0.000848969,0.000848969,0.000848969
43,251.018,0.98926,1.07832,1.30768,0.16829,0.18967,0.14107,0.06052,2.34746,3.36502,2.50698,0.000834822,0.000834822,0.000834822
44,256.286,0.98494,1.07263,1.30452,0.60798,0.15264,0.12359,0.06237,2.35361,3.50487,2.49831,0.000820675,0.000820675,0.000820675
45,262.137,0.9057,0.99492,1.24093,0.67584,0.12233,0.1588,0.05383,2.52912,3.4364,2.60745,0.000806528,0.000806528,0.000806528
46,268.023,0.92132,1.0105,1.23759,0.5132,0.17733,0.16367,0.0385,2.55037,3.42381,2.79692,0.00079238,0.00079238,0.00079238
47,273.139,0.90228,0.96793,1.25595,0.17519,0.11111,0.11509,0.04715,2.50263,3.58784,2.7993,0.000778233,0.000778233,0.000778233
48,279.485,0.88967,0.94368,1.23895,0.1768,0.24467,0.17055,0.03883,2.49032,3.60478,2.81866,0.000764086,0.000764086,0.000764086
49,284.884,0.85489,0.91808,1.21087,0.26385,0.18406,0.16551,0.06322,2.28907,3.51948,2.57982,0.000749939,0.000749939,0.000749939
50,290.082,0.91561,0.98711,1.24244,0.51368,0.19641,0.17017,0.05711,2.56969,3.47495,2.7681,0.000735792,0.000735792,0.000735792
51,296.407,0.88761,0.9576,1.2364,0.74843,0.11672,0.18838,0.06483,2.41541,3.28075,2.72306,0.000721645,0.000721645,0.000721645
52,301.632,0.86942,0.92801,1.19696,0.27222,0.15937,0.16212,0.05461,2.35236,3.63446,2.623,0.000707498,0.000707498,0.000707498
53,307.472,0.89303,0.95867,1.24472,0.26701,0.13468,0.14322,0.04646,2.39051,4.0051,2.67207,0.000693351,0.000693351,0.000693351
54,313.418,0.90554,0.92877,1.24922,0.25914,0.15937,0.17175,0.06706,2.41384,3.56403,2.71956,0.000679204,0.000679204,0.000679204
55,318.552,0.81732,0.84453,1.17648,0.65918,0.14703,0.17604,0.06756,2.44987,3.21604,2.67048,0.000665057,0.000665057,0.000665057
56,324.847,0.77413,0.82115,1.17768,0.28437,0.17172,0.17508,0.05993,2.48958,3.31803,2.63616,0.000650909,0.000650909,0.000650909
57,330.42,0.77099,0.82054,1.16803,0.56989,0.17915,0.17174,0.04854,2.40323,3.40751,2.6095,0.000636762,0.000636762,0.000636762
58,335.594,0.80071,0.82651,1.17674,0.52616,0.19172,0.12803,0.04303,2.40337,3.69235,2.66418,0.000622615,0.000622615,0.000622615
59,341.849,0.79517,0.80188,1.16728,0.16056,0.14703,0.1166,0.04536,2.4655,3.78905,2.62693,0.000608468,0.000608468,0.000608468
60,347.205,0.79869,0.83199,1.19324,0.2201,0.17954,0.13112,0.04171,2.6893,4.07502,2.84129,0.000594321,0.000594321,0.000594321
61,353.114,0.74819,0.80398,1.14099,0.58234,0.22902,0.18584,0.07469,2.33419,3.74649,2.5272,0.000580174,0.000580174,0.000580174
62,359.053,0.75992,0.78891,1.13736,0.58323,0.18967,0.16452,0.06843,2.28265,3.33783,2.50148,0.000566027,0.000566027,0.000566027
63,364.241,0.71853,0.73306,1.1242,0.32567,0.20202,0.1791,0.06458,2.44688,3.42443,2.6418,0.00055188,0.00055188,0.00055188
64,370.178,0.73823,0.74494,1.12145,0.2745,0.24632,0.18643,0.0549,2.52643,3.53274,2.75469,0.000537733,0.000537733,0.000537733
65,375.921,0.73226,0.75514,1.11081,0.69178,0.24467,0.18611,0.05773,2.6744,3.26672,2.94548,0.000523586,0.000523586,0.000523586
66,381.114,0.68831,0.70882,1.10357,0.41496,0.18965,0.18829,0.05575,2.5897,3.61938,2.71438,0.000509438,0.000509438,0.000509438
67,387.556,0.69153,0.68814,1.09065,0.38174,0.18833,0.17899,0.06708,2.40825,3.85195,2.64456,0.000495291,0.000495291,0.000495291
68,392.681,0.67774,0.68176,1.09671,0.70575,0.18967,0.19806,0.07368,2.38356,3.45158,2.70337,0.000481144,0.000481144,0.000481144
69,398.357,0.66182,0.66859,1.08511,0.55756,0.18406,0.18473,0.07695,2.464,3.65398,2.73645,0.000466997,0.000466997,0.000466997
70,404.371,0.67055,0.69387,1.09224,0.65834,0.1696,0.23776,0.09977,2.53601,3.6765,2.78729,0.00045285,0.00045285,0.00045285
71,409.62,0.67034,0.67918,1.07544,0.25245,0.22671,0.18167,0.05577,2.56466,3.66234,2.75931,0.000438703,0.000438703,0.000438703
72,415.807,0.66604,0.69174,1.07622,0.64918,0.20202,0.21473,0.06348,2.4126,3.55687,2.59069,0.000424556,0.000424556,0.000424556
73,421.713,0.64975,0.67526,1.06066,0.72071,0.20155,0.31844,0.08763,2.40458,3.47839,2.60701,0.000410409,0.000410409,0.000410409
74,426.897,0.64273,0.68499,1.06909,0.7324,0.21437,0.24782,0.09652,2.49354,3.47039,2.5649,0.000396262,0.000396262,0.000396262
75,433.191,0.67861,0.69397,1.09371,0.76012,0.21437,0.24185,0.08995,2.50822,3.47228,2.63931,0.000382115,0.000382115,0.000382115
76,438.706,0.62957,0.63095,1.0621,0.24168,0.21437,0.20261,0.06962,2.50447,3.56473,2.69764,0.000367967,0.000367967,0.000367967
77,444.226,0.63364,0.64777,1.05101,0.22603,0.18406,0.16334,0.05175,2.50549,3.87962,2.73182,0.00035382,0.00035382,0.00035382
78,450.229,0.59167,0.60366,1.03162,0.23921,0.19817,0.18315,0.0551,2.39387,3.68092,2.69433,0.000339673,0.000339673,0.000339673
79,455.431,0.64607,0.65032,1.08021,0.7428,0.18366,0.19334,0.05793,2.36715,3.54755,2.6709,0.000325526,0.000325526,0.000325526
80,461.659,0.64003,0.64198,1.06606,0.6044,0.21177,0.18776,0.05637,2.5634,3.33508,2.83178,0.000311379,0.000311379,0.000311379
81,469.715,0.60951,0.60682,1.05302,0.20619,0.19641,0.1519,0.04877,2.57263,3.37872,2.79248,0.000297232,0.000297232,0.000297232
82,477.967,0.57162,0.58899,1.04416,0.32991,0.17634,0.17698,0.06245,2.5249,3.41483,2.6921,0.000283085,0.000283085,0.000283085
83,483.57,0.58243,0.57677,1.03773,0.32236,0.15937,0.17462,0.06476,2.36995,3.6608,2.64156,0.000268938,0.000268938,0.000268938
84,488.91,0.58288,0.59475,1.03367,0.39093,0.15937,0.18038,0.06713,2.41058,3.77217,2.66833,0.000254791,0.000254791,0.000254791
85,495.142,0.56529,0.55503,1.03378,0.24442,0.23369,0.19149,0.07371,2.47927,3.82011,2.69586,0.000240644,0.000240644,0.000240644
86,500.325,0.55995,0.58075,1.03319,0.81824,0.13468,0.18096,0.0722,2.45258,3.74797,2.6898,0.000226497,0.000226497,0.000226497
87,506.201,0.54256,0.57119,1.01063,0.74694,0.17172,0.21086,0.08449,2.38756,3.54603,2.64477,0.000212349,0.000212349,0.000212349
88,512.029,0.54659,0.55699,1.02187,0.69209,0.15937,0.20518,0.08422,2.36377,3.53205,2.65204,0.000198202,0.000198202,0.000198202
89,517.097,0.5343,0.55315,1.01401,0.66846,0.15937,0.19526,0.08235,2.3713,3.57728,2.64714,0.000184055,0.000184055,0.000184055
90,523.292,0.54269,0.53197,1.01541,0.68302,0.14703,0.16436,0.06845,2.40262,3.64139,2.70239,0.000169908,0.000169908,0.000169908
91,530.638,0.53013,0.53631,1.00517,0.58993,0.17172,0.1631,0.06484,2.43122,3.46486,2.74021,0.000155761,0.000155761,0.000155761
92,536.397,0.51069,0.50946,1.00351,0.63415,0.17161,0.16615,0.0565,2.44242,3.47487,2.77965,0.000141614,0.000141614,0.000141614
93,542.326,0.46556,0.45051,0.9682,0.54522,0.18406,0.16308,0.06101,2.47267,3.45986,2.80409,0.000127467,0.000127467,0.000127467
94,547.415,0.45621,0.42817,0.95677,0.69266,0.13468,0.15997,0.06178,2.50639,3.50618,2.82284,0.00011332,0.00011332,0.00011332
